instrument_id,month,date,value,kind,source,retrieved_at,note
FUND_RIZA_LOTUS,2023-08,2023-08-31,1.2320814,price,cvm_inf_diario,2026-09-11T13:42:09+00:00,cota do ultimo dia util do mes (CNPJ_FUNDO)
FUND_RIZA_LOTUS,2023-09,2023-09-29,1.2477691,price,cvm_inf_diario,2026-09-11T13:42:09+00:00,cota do ultimo dia util do mes (CNPJ_FUNDO)
FUND_RIZA_LOTUS,2023-10,2023-10-31,1.262505,price,cvm_inf_diario,2026-09-11T13:42:09+00:00,cota do ultimo dia util do mes (CNPJ_FUNDO)
FUND_RIZA_LOTUS,2023-11,2023-11-30,1.2770639,price,cvm_inf_diario,2026-09-11T13:42:09+00:00,cota do ultimo dia util do mes (CNPJ_FUNDO)
FUND_RIZA_LOTUS,2023-12,2023-12-29,1.2867957,price,cvm_inf_diario,2026-09-11T13:42:09+00:00,cota do ultimo dia util do mes (CNPJ_FUNDO_CLASSE)
FUND_RIZA_LOTUS,2024-01,2024-01-31,1.3045045,price,cvm_inf_diario,2026-09-11T13:42:09+00:00,cota do ultimo dia util do mes (CNPJ_FUNDO_CLASSE)
FUND_RIZA_LOTUS,2024-02,2024-02-29,1.317563,price,cvm_inf_diario,2026-09-11T13:42:09+00:00,cota do ultimo dia util do mes (CNPJ_FUNDO_CLASSE)
FUND_RIZA_LOTUS,2024-03,2024-03-28,1.3319607,price,cvm_inf_diario,2026-09-11T13:42:09+00:00,cota do ultimo dia util do mes (CNPJ_FUNDO_CLASSE)
FUND_RIZA_LOTUS,2024-04,2024-04-30,1.3452461,price,cvm_inf_diario,2026-09-11T13:30:59+00:00,cota do ultimo dia util do mes (CNPJ_FUNDO_CLASSE)
FUND_RIZA_LOTUS,2024-05,2024-05-31,1.3623675,price,cvm_inf_diario,2026-09-11T13:42:09+00:00,cota do ultimo dia util do mes (CNPJ_FUNDO_CLASSE)
FUND_RIZA_LOTUS,2024-06,2024-06-28,1.3741614,price,cvm_inf_diario,2026-09-11T13:42:09+00:00,cota do ultimo dia util do mes (CNPJ_FUNDO_CLASSE)
FUND_RIZA_LOTUS,2024-07,2024-07-31,1.3920608,price,cvm_inf_diario,2026-09-11T13:42:09+00:00,cota do ultimo dia util do mes (CNPJ_FUNDO_CLASSE)
FUND_RIZA_LOTUS,2024-08,2024-08-30,1.4100822,price,cvm_inf_diario,2026-09-11T13:42:09+00:00,cota do ultimo dia util do mes (CNPJ_FUNDO_CLASSE)
FUND_RIZA_LOTUS,2024-09,2024-09-30,1.4241542,price,cvm_inf_diario,2026-09-11T13:42:09+00:00,cota do ultimo dia util do mes (CNPJ_FUNDO_CLASSE)
FUND_RIZA_LOTUS,2024-10,2024-10-31,1.4368019,price,cvm_inf_diario,2026-09-11T13:42:09+00:00,cota do ultimo dia util do mes (CNPJ_FUNDO_CLASSE)
FUND_RIZA_LOTUS,2024-11,2024-11-29,1.4485027,price,cvm_inf_diario,2026-09-11T13:42:09+00:00,cota do ultimo dia util do mes (CNPJ_FUNDO_CLASSE)
FUND_RIZA_LOTUS,2024-12,2024-12-31,1.4564172,price,cvm_inf_diario,2026-09-11T13:42:09+00:00,cota do ultimo dia util do mes (CNPJ_FUNDO_CLASSE)
FUND_RIZA_LOTUS,2025-01,2025-01-31,1.4734668,price,cvm_inf_diario,2026-09-11T13:42:09+00:00,cota do ultimo dia util do mes (CNPJ_FUNDO_CLASSE)
FUND_RIZA_LOTUS,2025-02,2025-02-28,1.488857,price,cvm_inf_diario,2026-09-11T13:42:09+00:00,cota do ultimo dia util do mes (CNPJ_FUNDO_CLASSE)
FUND_RIZA_LOTUS,2025-03,2025-03-31,1.5044227,price,cvm_inf_diario,2026-09-11T13:31:16+00:00,cota do ultimo dia util do mes (CNPJ_FUNDO_CLASSE)
FUND_RIZA_LOTUS,2025-04,2025-04-30,1.5226835,price,cvm_inf_diario,2026-09-11T13:31:16+00:00,cota do ultimo dia util do mes (CNPJ_FUNDO_CLASSE)
FUND_STK_LB,2023-04,2023-04-28,264.53305993,price,cvm_inf_diario,2026-09-11T13:42:09+00:00,cota do ultimo dia util do mes (CNPJ_FUNDO)
FUND_STK_LB,2023-05,2023-05-31,279.36562834,price,cvm_inf_diario,2026-09-11T13:42:09+00:00,cota do ultimo dia util do mes (CNPJ_FUNDO)
FUND_STK_LB,2023-06,2023-06-30,298.2221213,price,cvm_inf_diario,2026-09-11T13:42:09+00:00,cota do ultimo dia util do mes (CNPJ_FUNDO)
FUND_STK_LB,2023-07,2023-07-31,307.86544259,price,cvm_inf_diario,2026-09-11T13:42:09+00:00,cota do ultimo dia util do mes (CNPJ_FUNDO)
FUND_STK_LB,2023-08,2023-08-31,294.5925333,price,cvm_inf_diario,2026-09-11T13:42:09+00:00,cota do ultimo dia util do mes (CNPJ_FUNDO)
FUND_STK_LB,2023-09,2023-09-29,292.09442228,price,cvm_inf_diario,2026-09-11T13:42:09+00:00,cota do ultimo dia util do mes (CNPJ_FUNDO)
FUND_STK_LB,2023-10,2023-10-31,276.62875511,price,cvm_inf_diario,2026-09-11T13:42:09+00:00,cota do ultimo dia util do mes (CNPJ_FUNDO)
FUND_STK_LB,2023-11,2023-11-30,301.50449194,price,cvm_inf_diario,2026-09-11T13:42:09+00:00,cota do ultimo dia util do mes (CNPJ_FUNDO)
FUND_STK_LB,2023-12,2023-12-29,316.87383381,price,cvm_inf_diario,2026-09-11T13:42:09+00:00,cota do ultimo dia util do mes (CNPJ_FUNDO_CLASSE)
FUND_STK_LB,2024-01,2024-01-31,311.46409289,price,cvm_inf_diario,2026-09-11T13:42:09+00:00,cota do ultimo dia util do mes (CNPJ_FUNDO_CLASSE)
FUND_STK_LB,2024-02,2024-02-29,321.54121367,price,cvm_inf_diario,2026-09-11T13:42:09+00:00,cota do ultimo dia util do mes (CNPJ_FUNDO_CLASSE)
FUND_STK_LB,2024-03,2024-03-28,322.63641317,price,cvm_inf_diario,2026-09-11T13:42:09+00:00,cota do ultimo dia util do mes (CNPJ_FUNDO_CLASSE)
FUND_STK_LB,2024-04,2024-04-30,301.34167974,price,cvm_inf_diario,2026-09-11T13:30:59+00:00,cota do ultimo dia util do mes (CNPJ_FUNDO_CLASSE)
FUND_STK_LB,2024-05,2024-05-31,300.56731814,price,cvm_inf_diario,2026-09-11T13:42:09+00:00,cota do ultimo dia util do mes (CNPJ_FUNDO_CLASSE)
FUND_STK_LB,2024-06,2024-06-28,314.61332892,price,cvm_inf_diario,2026-09-11T13:42:09+00:00,cota do ultimo dia util do mes (CNPJ_FUNDO_CLASSE)
FUND_STK_LB,2024-07,2024-07-31,319.03446477,price,cvm_inf_diario,2026-09-11T13:42:09+00:00,cota do ultimo dia util do mes (CNPJ_FUNDO_CLASSE)
FUND_STK_LB,2024-08,2024-08-30,330.84165076,price,cvm_inf_diario,2026-09-11T13:42:09+00:00,cota do ultimo dia util do mes (CNPJ_FUNDO_CLASSE)
FUND_STK_LB,2024-09,2024-09-30,324.94277118,price,cvm_inf_diario,2026-09-11T13:42:09+00:00,cota do ultimo dia util do mes (CNPJ_FUNDO_CLASSE)
FUND_STK_LB,2024-10,2024-10-31,326.57608345,price,cvm_inf_diario,2026-09-11T13:42:09+00:00,cota do ultimo dia util do mes (CNPJ_FUNDO_CLASSE)
FUND_STK_LB,2024-11,2024-11-29,324.59129714,price,cvm_inf_diario,2026-09-11T13:42:09+00:00,cota do ultimo dia util do mes (CNPJ_FUNDO_CLASSE)
FUND_STK_LB,2024-12,2024-12-31,317.3971458,price,cvm_inf_diario,2026-09-11T13:42:09+00:00,cota do ultimo dia util do mes (CNPJ_FUNDO_CLASSE)
FUND_STK_LB,2025-01,2025-01-31,333.56992138,price,cvm_inf_diario,2026-09-11T13:42:09+00:00,cota do ultimo dia util do mes (CNPJ_FUNDO_CLASSE)
FUND_STK_LB,2025-02,2025-02-28,320.62314057,price,cvm_inf_diario,2026-09-11T13:42:09+00:00,cota do ultimo dia util do mes (CNPJ_FUNDO_CLASSE)
FUND_STK_LB,2025-03,2025-03-31,318.31657924,price,cvm_inf_diario,2026-09-11T13:31:16+00:00,cota do ultimo dia util do mes (CNPJ_FUNDO_CLASSE)
