variable_id,label,unit,year,value_raw,value,is_projection,portfolio_relevant,source,prose_check,note
divida_bruta,Dívida bruta - DBGG (% PIB),% PIB,2025,"80,3",80.3,True,False,Projeções XP (tabela),"DIVERGE do texto (79,9)","A tabela traz 80,3 e o texto 79,9. Valor da tabela mantido; divergencia declarada."
divida_bruta,Dívida bruta - DBGG (% PIB),% PIB,2026,"83,9",83.9,True,False,Projeções XP (tabela),"DIVERGE do texto (83,6)","A tabela traz 83,9 e o texto 83,6. Valor da tabela mantido; divergencia declarada."
balan_a_comercial_us_bi,Balança Comercial (US$ Bi),,2018,"46,6",46.6,False,False,Projeções XP (tabela),,
balan_a_comercial_us_bi,Balança Comercial (US$ Bi),,2019,"29,6",29.6,False,False,Projeções XP (tabela),,
balan_a_comercial_us_bi,Balança Comercial (US$ Bi),,2020,"35,7",35.7,False,False,Projeções XP (tabela),,
balan_a_comercial_us_bi,Balança Comercial (US$ Bi),,2021,"42,3",42.3,False,False,Projeções XP (tabela),,
balan_a_comercial_us_bi,Balança Comercial (US$ Bi),,2022,"51,5",51.5,False,False,Projeções XP (tabela),,
balan_a_comercial_us_bi,Balança Comercial (US$ Bi),,2023,"92,3",92.3,False,False,Projeções XP (tabela),,
balan_a_comercial_us_bi,Balança Comercial (US$ Bi),,2024,"66,2",66.2,True,False,Projeções XP (tabela),,
balan_a_comercial_us_bi,Balança Comercial (US$ Bi),,2025,"77,0",77.0,True,False,Projeções XP (tabela),,
balan_a_comercial_us_bi,Balança Comercial (US$ Bi),,2026,"80,0",80.0,True,False,Projeções XP (tabela),,
exporta_es_us_bi,Exportações (US$ Bi),,2018,"231,9",231.9,False,False,Projeções XP (tabela),,
exporta_es_us_bi,Exportações (US$ Bi),,2019,"225,8",225.8,False,False,Projeções XP (tabela),,
exporta_es_us_bi,Exportações (US$ Bi),,2020,"210,7",210.7,False,False,Projeções XP (tabela),,
exporta_es_us_bi,Exportações (US$ Bi),,2021,"284,0",284.0,False,False,Projeções XP (tabela),,
exporta_es_us_bi,Exportações (US$ Bi),,2022,"340,2",340.2,False,False,Projeções XP (tabela),,
exporta_es_us_bi,Exportações (US$ Bi),,2023,"343,8",343.8,False,False,Projeções XP (tabela),,
exporta_es_us_bi,Exportações (US$ Bi),,2024,"339,8",339.8,True,False,Projeções XP (tabela),,
exporta_es_us_bi,Exportações (US$ Bi),,2025,"356,0",356.0,True,False,Projeções XP (tabela),,
exporta_es_us_bi,Exportações (US$ Bi),,2026,"363,0",363.0,True,False,Projeções XP (tabela),,
importa_es_us_bi,Importações (US$ Bi),,2018,"185,3",185.3,False,False,Projeções XP (tabela),,
importa_es_us_bi,Importações (US$ Bi),,2019,"196,2",196.2,False,False,Projeções XP (tabela),,
importa_es_us_bi,Importações (US$ Bi),,2020,"175,0",175.0,False,False,Projeções XP (tabela),,
importa_es_us_bi,Importações (US$ Bi),,2021,"241,7",241.7,False,False,Projeções XP (tabela),,
importa_es_us_bi,Importações (US$ Bi),,2022,"288,7",288.7,False,False,Projeções XP (tabela),,
importa_es_us_bi,Importações (US$ Bi),,2023,"251,5",251.5,False,False,Projeções XP (tabela),,
importa_es_us_bi,Importações (US$ Bi),,2024,"273,6",273.6,True,False,Projeções XP (tabela),,
importa_es_us_bi,Importações (US$ Bi),,2025,"279,0",279.0,True,False,Projeções XP (tabela),,
importa_es_us_bi,Importações (US$ Bi),,2026,"283,0",283.0,True,False,Projeções XP (tabela),,
conta_corrente_us_bi,Conta Corrente (US$ Bi),,2018,"-54,8",-54.8,False,False,Projeções XP (tabela),,
conta_corrente_us_bi,Conta Corrente (US$ Bi),,2019,"-65,0",-65.0,False,False,Projeções XP (tabela),,
conta_corrente_us_bi,Conta Corrente (US$ Bi),,2020,"-24,9",-24.9,False,False,Projeções XP (tabela),,
conta_corrente_us_bi,Conta Corrente (US$ Bi),,2021,"-40,4",-40.4,False,False,Projeções XP (tabela),,
conta_corrente_us_bi,Conta Corrente (US$ Bi),,2022,"-40,9",-40.9,False,False,Projeções XP (tabela),,
conta_corrente_us_bi,Conta Corrente (US$ Bi),,2023,"-24,5",-24.5,False,False,Projeções XP (tabela),,
conta_corrente_us_bi,Conta Corrente (US$ Bi),,2024,"-56,0",-56.0,True,False,Projeções XP (tabela),,
conta_corrente_us_bi,Conta Corrente (US$ Bi),,2025,"-52,5",-52.5,True,False,Projeções XP (tabela),,
conta_corrente_us_bi,Conta Corrente (US$ Bi),,2026,"-47,4",-47.4,True,False,Projeções XP (tabela),,
conta_corrente,Conta Corrente (% PIB),% PIB,2018,"-2,9",-2.9,False,False,Projeções XP (tabela),,
conta_corrente,Conta Corrente (% PIB),% PIB,2019,"-3,5",-3.5,False,False,Projeções XP (tabela),,
conta_corrente,Conta Corrente (% PIB),% PIB,2020,"-1,7",-1.7,False,False,Projeções XP (tabela),,
conta_corrente,Conta Corrente (% PIB),% PIB,2021,"-2,4",-2.4,False,False,Projeções XP (tabela),,
conta_corrente,Conta Corrente (% PIB),% PIB,2022,"-2,1",-2.1,False,False,Projeções XP (tabela),,
conta_corrente,Conta Corrente (% PIB),% PIB,2023,"-1,1",-1.1,False,False,Projeções XP (tabela),,
conta_corrente,Conta Corrente (% PIB),% PIB,2024,"-2,6",-2.6,True,False,Projeções XP (tabela),,
conta_corrente,Conta Corrente (% PIB),% PIB,2025,"-2,6",-2.6,True,False,Projeções XP (tabela),,
conta_corrente,Conta Corrente (% PIB),% PIB,2026,"-2,2",-2.2,True,False,Projeções XP (tabela),,
idp_us_bi,IDP (US$ Bi),,2018,"78,2",78.2,False,False,Projeções XP (tabela),,
idp_us_bi,IDP (US$ Bi),,2019,"69,2",69.2,False,False,Projeções XP (tabela),,
idp_us_bi,IDP (US$ Bi),,2020,"38,3",38.3,False,False,Projeções XP (tabela),,
